# sweep maxlinkdim walltime
1 9 41.50339889526367
2 10 41.834413051605225
3 32 42.63204503059387
4 32 43.70529508590698
5 64 47.00061297416687
6 64 50.3130099773407
7 128 61.9345018863678
8 128 75.41060996055603
9 256 124.06944799423218
10 256 190.1388120651245
11 384 357.1160190105438
12 384 561.2982339859009
13 512 929.165992975235
14 512 1398.0382480621338
15 768 2984.760540008545
16 768 4467.916710853577
