# sweep maxlinkdim walltime
1 9 78.58283185958862
2 10 81.5501708984375
3 32 84.13874888420105
4 32 86.54771995544434
5 64 89.64332103729248
6 64 93.23970699310303
7 128 101.01645994186401
8 128 108.98176598548889
9 256 123.39567685127258
10 256 138.4010238647461
11 384 163.1873378753662
12 384 189.99792885780334
13 512 234.59745693206787
14 512 281.2566089630127
15 768 377.7973690032959
16 768 481.61083483695984
17 1024 677.0578248500824
18 1024 892.7493000030518
19 2048 2439.0819640159607
20 2048 4510.954988002777
