# sweep maxlinkdim walltime
1 9 42.51564407348633
2 10 42.81390118598938
3 32 43.69045305252075
4 32 44.902284145355225
5 64 48.77676320075989
6 64 52.6962411403656
7 128 67.83784008026123
8 128 86.71684718132019
9 256 165.71531915664673
10 256 272.83598804473877
11 384 545.7657351493835
12 384 877.7786731719971
13 512 1581.9906771183014
14 512 2441.0944740772247
15 768 5057.475299119949
